category,department,verdict,net_effect_usd,t_stat,basket_total_usd,t_basket,jyc_visit28_diff,jyc_spend28_diff,jyc_spend28_sig,jyc_quadrant,action,confidence,rationale
FRZN VEGETABLE/VEG DSH,GROCERY,불확실,0.057,0.7,-0.079,-0.05,0.00778742436201,24.95689121283872,True,Q1 Relationship strengthened,소규모 확대 실험,하,"당일 효과 판정불가, 28일 관계 양호"
PORK,MEAT,불확실,0.001,0.01,2.069,1.48,0.1357067768832476,6.987364084036882,False,Q1 Relationship strengthened,소규모 확대 실험,하,"당일 효과 판정불가, 28일 관계 양호"
CANDY - CHECKLANE,DRUG GM,불확실,-0.029,-0.79,-4.092,-2.65,0.0514449565585929,1.060443184866482,False,Q1 Relationship strengthened,소규모 확대 실험,하,"당일 효과 판정불가, 28일 관계 양호"
HOT DOGS,MEAT-PCKGD,불확실,-0.038,-0.3,-0.141,-0.05,-0.0707834600321644,-5.731689441203031,False,Q4 Relationship weakened,현행 유지·관찰,하,"당일 효과 판정불가, 28일 관계 약화"
CHICKEN/POULTRY,DELI,불확실,-0.057,-0.26,0.584,0.24,0.1033862433862433,-21.376476613756623,False,Q2 More low-value visits,보류,하,두 설계 모두 뚜렷한 신호 없음
BAKED BREAD/BUNS/ROLLS,GROCERY,불확실,-0.069,-1.98,3.274,3.44,-0.0776886866326521,-4.535672317943871,False,Q4 Relationship weakened,현행 유지·관찰,하,"당일 효과 판정불가, 28일 관계 약화"
MARGARINES,GROCERY,불확실,-0.077,-0.98,-1.249,-0.37,0.1688499785516643,-1.3812174239732715,False,Q2 More low-value visits,보류,하,두 설계 모두 뚜렷한 신호 없음
SALD DRSNG/SNDWCH SPRD,GROCERY,불확실,-0.08,-1.07,6.627,2.59,0.2303610173893194,12.117894804933016,True,Q1 Relationship strengthened,소규모 확대 실험,하,"당일 효과 판정불가, 28일 관계 양호"
YOGURT,GROCERY,불확실,-0.096,-1.8,-0.617,-0.49,-0.1639453951798608,1.7089860289607637,False,Q3 Fewer high-value visits,보류,하,두 설계 모두 뚜렷한 신호 없음
PEPPERS-ALL,PRODUCE,불확실,-0.106,-1.48,3.476,1.01,0.3161556074269193,16.03315863202566,False,Q1 Relationship strengthened,소규모 확대 실험,하,"당일 효과 판정불가, 28일 관계 양호"
BREAKFAST SWEETS,PASTRY,불확실,-0.129,-1.53,3.192,1.36,-0.124821882847032,-8.214516192656923,False,Q4 Relationship weakened,현행 유지·관찰,하,"당일 효과 판정불가, 28일 관계 약화"
CHICKEN,MEAT,불확실,-0.155,-1.49,0.034,0.03,-0.0422546705061155,2.08828022772026,False,Q3 Fewer high-value visits,보류,하,두 설계 모두 뚜렷한 신호 없음
PASTA SAUCE,GROCERY,불확실,-0.157,-1.82,-2.974,-1.01,0.2939202953908836,14.079880336983289,False,Q1 Relationship strengthened,소규모 확대 실험,하,"당일 효과 판정불가, 28일 관계 양호"
BACON,MEAT-PCKGD,불확실,-0.18,-1.73,3.197,1.18,0.1200562518876471,-1.994120777962343,False,Q2 More low-value visits,보류,하,두 설계 모두 뚜렷한 신호 없음
HEAT/SERVE,MEAT-PCKGD,불확실,-0.235,-1.14,-0.352,-0.14,-0.3857257018649422,-16.4631240524595,False,Q4 Relationship weakened,현행 유지·관찰,하,"당일 효과 판정불가, 28일 관계 약화"
LAUNDRY DETERGENTS,GROCERY,불확실,-0.38,-1.62,1.876,0.66,-0.1019409883046247,-11.981534876739431,False,Q4 Relationship weakened,현행 유지·관찰,하,"당일 효과 판정불가, 28일 관계 약화"
DIAPERS & DISPOSABLES,DRUG GM,불확실,-0.455,-1.16,1.416,0.45,,,,,보류,하,두 설계 모두 뚜렷한 신호 없음
