COMMODITY_DESC,households,deep_events,full_events,visit_diff,visit_se,spend_diff,spend_se,performance_quadrant
BAG SNACKS,712,1078,2970,0.043250146764334273,0.098681131181140108,6.4006346197202859,4.26305677555338,Q1 Relationship strengthened
MILK BY-PRODUCTS,392,591,1009,0.11882288629737602,0.14601175843225686,5.4332975619901642,6.3843234170981145,Q1 Relationship strengthened
SALADS/DIPS,95,116,302,0.13247204348384017,0.26981406280653414,5.3973824309336651,11.635646392391671,Q1 Relationship strengthened
DRY NOODLES/PASTA,299,408,663,0.094475582017388,0.17919714365630485,4.9366561074562725,7.9345432405618217,Q1 Relationship strengthened
SHORTENING/OIL,125,144,238,0.14759999999999998,0.26474087581286887,4.7140319999999925,14.355432900456837,Q1 Relationship strengthened
BAKING NEEDS,158,188,468,0.057936507936507974,0.19624142125241292,4.5987614777978649,10.938519415874486,Q1 Relationship strengthened
EGGS,615,841,3026,0.1039263581639176,0.1119421664302311,4.0287199529625486,4.6643991152253186,Q1 Relationship strengthened
COFFEE,221,322,647,0.16011995268365853,0.21524418663224526,4.02418684888052,9.41597326209485,Q1 Relationship strengthened
COOKIES/CONES,459,665,1137,0.24797595287791363,0.12237512160243326,3.2126603856081024,6.0325456862036368,Q1 Relationship strengthened
FD WRAPS/BAGS/TRSH BG,261,351,588,0.0779412796654176,0.17058168854342085,3.0654457426354029,8.3423533221387913,Q1 Relationship strengthened
MISC. DAIRY,80,94,173,0.13935515873015875,0.3458528719425894,3.0447305059523719,16.536968489536694,Q1 Relationship strengthened
BERRIES,295,421,778,0.18876740961486727,0.16814863373975633,3.026055471741059,8.1929600649384327,Q1 Relationship strengthened
COOKIES,122,168,171,0.10327868852459027,0.29016691006153911,2.4869767759562866,16.025215174587849,Q1 Relationship strengthened
CANDY - PACKAGED,665,998,2042,0.14409125946254372,0.10778517400454712,2.45235739141791,4.9343434550160445,Q1 Relationship strengthened
SOAP - LIQUID & BAR,191,251,397,0.093754674644726976,0.23623289909988926,2.433780727998009,10.869446064852431,Q1 Relationship strengthened
CANNED JUICES,375,484,1437,0.040282808270733966,0.14475287884173643,2.0573576426630305,6.3268016465017043,Q1 Relationship strengthened
FLUID MILK PRODUCTS,1028,1754,4379,0.084700692939328456,0.0703444479127431,1.8761643665039571,3.1730984524000969,Q1 Relationship strengthened
CANDY - CHECKLANE,660,1008,1657,0.0514449565585929,0.11647367353878825,1.0604431848664821,4.5936850031705445,Q1 Relationship strengthened
FROZEN PIZZA,397,572,971,0.028549165639845796,0.14086466501462239,0.81211264907077474,6.5186641954333115,Q1 Relationship strengthened
ANALGESICS,161,206,316,0.13478260869565226,0.28326259778426915,0.80401293995859546,12.868381864533864,Q1 Relationship strengthened
TOMATOES,501,650,2061,0.0047477756861620205,0.12641262578085247,-0.67290148296665586,5.622634805073135,Q2 More low-value visits
BREAKFAST SAUSAGE/SANDWICHES,305,498,561,0.16862217017954725,0.181749936523255,-1.1807438329430155,8.8833345765114071,Q2 More low-value visits
BUTTER,199,301,519,0.1577732568938601,0.18626530519974202,-1.2040322512495842,9.5107426519987914,Q2 More low-value visits
MARGARINES,308,415,1014,0.16884997855166436,0.16825639905421419,-1.3812174239732717,7.1367256175806526,Q2 More low-value visits
BACON,258,413,530,0.12005625188764719,0.18972353818571941,-1.9941207779623431,8.0218324453821079,Q2 More low-value visits
SOFT DRINKS,861,1518,3233,0.041601489219732821,0.086549561198736386,-2.2503679316969993,3.8578754418726553,Q2 More low-value visits
FITNESS&DIET,23,34,79,0.47651174412793607,0.81288917722789944,-3.0809863818091228,38.245067040835345,Q2 More low-value visits
CHRISTMAS  SEASONAL,27,29,31,0.12962962962962962,0.50184317861324967,-3.3255555555555585,24.046272004557981,Q2 More low-value visits
COLD CEREAL,539,793,1517,0.130306914186375,0.12732799280894402,-4.6131531334811688,5.8076563865680173,Q2 More low-value visits
DRY SAUCES/GRAVY,209,262,494,0.017338801549327879,0.21325856277307367,-7.7282994417862838,9.8577771282845159,Q2 More low-value visits
RICE CAKES,30,32,72,0.49185185185185165,0.53586402920229137,-8.6006055555555569,24.557137978912703,Q2 More low-value visits
PNT BTR/JELLY/JAMS,157,193,374,0.14914913465868881,0.28902465634998242,-9.0041495528533666,13.893008183586005,Q2 More low-value visits
OLIVES,79,99,151,0.028691983122362923,0.28490490829590809,-9.3351181434599173,16.649605138121622,Q2 More low-value visits
VALUE ADDED VEGETABLES,39,46,118,0.21104475234910011,0.34424471727489786,-9.7393167170993014,15.879098953035339,Q2 More low-value visits
CAT LITTER,25,29,55,0.096666666666666762,0.56588344566180238,-10.858922222222226,31.436059732973245,Q2 More low-value visits
FROZEN PIE/DESSERTS,143,200,207,0.017450731087094759,0.24949982232608689,-11.708875503284588,12.701344612962174,Q2 More low-value visits
REFRIGERATED,70,86,334,0.025847702717450696,0.3298972919021016,-12.68338342640086,15.882739929814852,Q2 More low-value visits
GRAPES,418,618,1062,0.015647331137761778,0.13585157340767073,-13.577000998536272,6.8704410442768955,Q2 More low-value visits
CAKES,22,23,43,0.34053030303030307,0.81269765706473174,-13.734401515151538,35.237984060277263,Q2 More low-value visits
CHEESES,226,284,834,0.063702786630127045,0.1850472694456459,-14.577982463559316,9.4292730048134725,Q2 More low-value visits
PIES,56,65,127,0.46415107709750558,0.389812745356152,-15.420086947278927,16.595410953205686,Q2 More low-value visits
CHICKEN/POULTRY,75,83,200,0.10338624338624336,0.40162091915585713,-21.376476613756626,13.1604707336194,Q2 More low-value visits
NO COMMODITY DESCRIPTION,21,21,156,0.58157081014223855,0.96993791712467048,-36.046899402185105,25.457191609027653,Q2 More low-value visits
WATER,30,39,68,-0.21916971916971917,0.46760187691709859,53.411784798534775,26.295374715107812,Q3 Fewer high-value visits
NEWSPAPER,24,24,105,-0.10687830687830681,0.64259231956953011,50.376272156084653,30.620183566636221,Q3 Fewer high-value visits
PLASTIC HOUSEWARES,36,38,49,-0.24768518518518512,0.45189057726109133,42.214398148148149,28.17260049714292,Q3 Fewer high-value visits
FRZN JCE CONC/DRNKS,20,25,28,-0.21249999999999986,0.55288567153569246,22.859291666666664,24.842958812571808,Q3 Fewer high-value visits
LAUNDRY ADDITIVES,58,72,130,-0.089511494252873608,0.35836390601163531,18.374202586206888,19.272100786726121,Q3 Fewer high-value visits
FACIAL TISS/DNR NAPKIN,39,42,100,-0.021937321937321987,0.3738214876826717,15.126354700854698,22.61439946618491,Q3 Fewer high-value visits
DRY BN/VEG/POTATO/RICE,332,418,1012,-0.03030328193612913,0.15977622955791715,11.450360296448956,7.1526421497433867,Q3 Fewer high-value visits
AIR CARE,54,61,110,-0.10334362139917691,0.5223864470626951,8.646562242798371,25.938716914504891,Q3 Fewer high-value visits
SMOKED MEATS,80,91,165,-0.22680555555555551,0.3409300169238228,7.5588580357142936,16.764761388910813,Q3 Fewer high-value visits
DEODORANTS,101,127,203,-0.034205563413484241,0.28864766709972295,5.0163967468175459,15.568372286644822,Q3 Fewer high-value visits
VEGETABLES - SHELF STABLE,590,917,1397,-0.00800456301204056,0.11316006307707437,4.6792618083921278,5.3202280479006783,Q3 Fewer high-value visits
DRY MIX DESSERTS,178,243,303,-0.087359550561797811,0.2420698382451725,4.5019130551096858,10.938262842082912,Q3 Fewer high-value visits
POTATOES,359,443,1675,-0.098469198569559088,0.13922818537332463,3.5200194437619463,6.8190866409350006,Q3 Fewer high-value visits
ICE CREAM/MILK/SHERBTS,375,622,668,-0.043090028490028451,0.15212206642260429,3.427450936100938,6.9195432978324165,Q3 Fewer high-value visits
APPLES,417,572,1882,-0.23404670438102496,0.12951552498634905,2.9931345291754661,6.7619390148239535,Q3 Fewer high-value visits
FRZN POTATOES,178,193,467,-0.30044202052629021,0.24493496499196993,2.2191839826839841,11.239186077164293,Q3 Fewer high-value visits
CHICKEN,346,566,688,-0.04225467050611556,0.15299428663214371,2.08828022772026,7.0481110473003605,Q3 Fewer high-value visits
SOUP,592,808,2313,-0.061108642726289755,0.12028654882697717,1.8912649047897114,5.22786666354516,Q3 Fewer high-value visits
YOGURT,213,292,580,-0.16394539517986084,0.19584698035857967,1.7089860289607635,9.7777766452622839,Q3 Fewer high-value visits
CITRUS,168,187,901,-0.088542131493950307,0.23547497630131245,1.4528061976981232,9.8477399421945666,Q3 Fewer high-value visits
BREAD,191,238,862,-0.081196803847771518,0.20101743926902726,1.1240743697264186,9.7547882891785846,Q3 Fewer high-value visits
FROZEN MEAT,111,148,169,-0.49324324324324331,0.41019286253468717,0.99265015015014846,19.29747761311345,Q3 Fewer high-value visits
CARROTS,305,425,976,-0.18504904385232254,0.14094480259708339,0.48852678148809292,7.4701424216087968,Q3 Fewer high-value visits
CONDIMENTS/SAUCES,565,804,1413,-0.16694536650809425,0.12151068212597756,0.4471038841602632,5.5553770044560746,Q3 Fewer high-value visits
STONE FRUIT,120,128,228,-0.031527777777777766,0.31521670327177642,0.43391249999999848,17.066524622078255,Q3 Fewer high-value visits
DINNER SAUSAGE,233,350,388,-0.0059370529327610689,0.17905932307855113,0.38441130185980116,8.5181577850081247,Q3 Fewer high-value visits
FRUIT - SHELF STABLE,364,509,845,-0.07425507185122579,0.1559926435203752,0.18540855893190855,7.7101161853597295,Q3 Fewer high-value visits
TROPICAL FRUIT,712,955,5342,-0.17754451814875996,0.097268894789849292,-0.27632255806076278,4.3776754504910125,Q4 Relationship weakened
HISPANIC,276,338,903,-0.17535160089507931,0.1713684132128018,-1.0094911407030982,8.6611545678900264,Q4 Relationship weakened
VEGETABLES - ALL OTHERS,423,565,2244,-0.058859747961805445,0.1194191047856942,-1.5755413642299747,5.6363579445488892,Q4 Relationship weakened
SNACK NUTS,80,99,175,-0.49703983516483519,0.34436246275865706,-1.9616060439560352,14.944408895008655,Q4 Relationship weakened
CRACKERS/MISC BKD FD,626,995,1568,-0.1192749267442102,0.11002204052161334,-2.0761599694010227,5.3102041199147436,Q4 Relationship weakened
CHEESE,693,1209,1527,-0.19971785870054254,0.10029561595477775,-2.1157314936946969,4.4968786766691515,Q4 Relationship weakened
MEAT - SHELF STABLE,121,134,419,-0.27503846016242711,0.26127981628880248,-2.1943253580670916,12.138581813703039,Q4 Relationship weakened
PROCESSED,43,47,110,-0.59459126145172669,0.46211412536561675,-2.5842924594784922,30.995648104102148,Q4 Relationship weakened
ISOTONIC DRINKS,90,109,216,-0.36808469308469294,0.36808285401287361,-3.0238230898730807,15.815550961239689,Q4 Relationship weakened
FRZN MEAT/MEAT DINNERS,342,500,865,-0.24944892513684092,0.17235696931536024,-3.9971516841756949,7.1506634654468959,Q4 Relationship weakened
HOT CEREAL,124,152,379,-0.34551907871498655,0.22285724184519806,-4.2528663401133624,11.747402745400603,Q4 Relationship weakened
LUNCHMEAT,616,968,1849,-0.16101700666492505,0.1151868756629177,-4.2585028791302948,4.8280375220930676,Q4 Relationship weakened
BAKED BREAD/BUNS/ROLLS,696,1182,1715,-0.077688686632652174,0.098094878460253568,-4.5356723179438712,4.3556478553917071,Q4 Relationship weakened
CONVENIENT BRKFST/WHLSM SNACKS,384,541,1247,-0.075537594220776758,0.15271063606873911,-4.9273943357769951,7.1471887699850463,Q4 Relationship weakened
BEANS - CANNED GLASS & MW,257,327,764,-0.11218732629238465,0.17875380220471637,-5.1202851626324417,7.2494153487066031,Q4 Relationship weakened
HOT DOGS,386,629,819,-0.070783460032164458,0.14243223482689607,-5.7316894412030308,7.1557982526978243,Q4 Relationship weakened
BEEF,845,1421,2921,-0.040425844174748961,0.089812160422714851,-5.8252231650844468,4.0001806819899919,Q4 Relationship weakened
SALAD MIX,461,690,1200,-0.0046896523577652331,0.13667479251848028,-6.0123751240022933,6.6040874430834586,Q4 Relationship weakened
SPICES & EXTRACTS,443,606,894,-0.33936364613565484,0.13331298029361691,-6.6364701261241885,6.0876367949429655,Q4 Relationship weakened
SEAFOOD - SHELF STABLE,159,211,375,-0.12133123689727454,0.27807127892352956,-7.2736009783368258,11.698226779330302,Q4 Relationship weakened
POPCORN,132,178,231,-0.13364898989898993,0.26905135552218445,-7.4332331649831742,12.776507524474706,Q4 Relationship weakened
SEAFOOD - MISC,25,26,43,-0.23523809523809505,0.5954687172281,-7.6279714285714171,28.618951827389402,Q4 Relationship weakened
COLD AND FLU,109,126,246,-0.046865443425076383,0.30988149042864715,-8.1265268676277884,12.271809836904533,Q4 Relationship weakened
SHAVING CARE PRODUCTS,61,65,138,-0.70646630236794161,0.38697645776288664,-8.1706102003643064,19.615792590514637,Q4 Relationship weakened
BREAKFAST SWEETS,225,303,711,-0.12482188284703208,0.22641456074544747,-8.214516192656923,9.77554180330929,Q4 Relationship weakened
REFRGRATD DOUGH PRODUCTS,405,561,996,-0.008362912807357235,0.15413202773357798,-8.6287425780666478,6.8580320975256006,Q4 Relationship weakened
PICKLE/RELISH/PKLD VEG,187,249,325,-0.052864782276546958,0.22817693681472562,-8.6559474153297664,10.672073217739934,Q4 Relationship weakened
BATH TISSUES,213,277,610,-0.27215636476199834,0.21833908926446804,-8.8794976807230466,10.080404115991952,Q4 Relationship weakened
ROLLS,49,54,184,-0.1666045639034833,0.45083506583705596,-9.1981285423260086,17.967619530367717,Q4 Relationship weakened
LAXATIVES,22,37,70,-0.431729055258467,0.74492322942289335,-9.827264483065937,27.609225925958071,Q4 Relationship weakened
WATER - CARBONATED/FLVRD DRINK,291,356,1581,-0.2415397325585863,0.16869427285989066,-11.507471471259022,8.5998413136975689,Q4 Relationship weakened
LAUNDRY DETERGENTS,143,181,394,-0.10194098830462475,0.31209966886502533,-11.981534876739433,13.353910169494576,Q4 Relationship weakened
SEAFOOD-FRESH,85,111,216,-0.12231262201850443,0.3015858414240562,-13.265181381037266,17.495445455984438,Q4 Relationship weakened
MEAT - MISC,161,233,239,-0.26322463768115922,0.23542579764928642,-13.307947722567295,12.536205828995676,Q4 Relationship weakened
ANTACIDS,49,63,99,-0.47376093294460642,0.64062075565401233,-13.565561224489798,26.485161597670178,Q4 Relationship weakened
COFFEE FILTERS,32,34,68,-1.2859375000000002,0.51063132384170173,-14.429583333333351,22.102471880251169,Q4 Relationship weakened
ORAL HYGIENE PRODUCTS,242,312,606,-0.25162919036885983,0.21507610940296931,-14.537361670125097,8.9958081100293636,Q4 Relationship weakened
FLORAL-FRESH CUT,20,24,67,-0.23285256410256411,0.63893894655737826,-16.351134294871798,36.398121938268545,Q4 Relationship weakened
HEAT/SERVE,79,109,233,-0.38572570186494226,0.31521670527842749,-16.4631240524595,13.991628497508579,Q4 Relationship weakened
REFRGRATD JUICES/DRNKS,378,513,1268,-0.18130062930584587,0.1440219162371362,-16.541039946528812,6.8279233971248177,Q4 Relationship weakened
HOUSEHOLD CLEANG NEEDS,120,140,271,-0.48708333333333337,0.29027895914903967,-17.825445138888888,13.062072462172758,Q4 Relationship weakened
MAKEUP AND TREATMENT,199,287,397,-0.62698811517906983,0.22106910736707613,-17.973413376405855,11.459321072241995,Q4 Relationship weakened
HAIR CARE PRODUCTS,81,99,279,-0.52962962962962945,0.34744563009607754,-18.842749755046054,12.338210999653121,Q4 Relationship weakened
PAPER TOWELS,136,161,440,-0.239169957257225,0.2375065353929528,-19.919037888066516,12.884693486018694,Q4 Relationship weakened
BROCCOLI/CAULIFLOWER,93,107,373,-0.28563775636830663,0.24324625627654917,-20.400452005361643,14.555384343579394,Q4 Relationship weakened
VEGETABLES SALAD,26,28,234,-0.12658985944518875,0.42759741170150162,-21.724352954886491,21.842138588513034,Q4 Relationship weakened
PEARS,73,91,175,-0.83247445096760153,0.31028358670817996,-21.724817786475345,18.808329632193498,Q4 Relationship weakened
SUGARS/SWEETNERS,111,119,361,-0.090929240929240859,0.25967018149184062,-22.775122736372744,12.602163581693835,Q4 Relationship weakened
MUSHROOMS,88,103,442,-0.21409419750434369,0.29692360774296767,-23.163188946818728,15.562283025364003,Q4 Relationship weakened
TEAS,63,76,137,-0.51863189720332581,0.34815218386471442,-23.876441421012853,20.779432898971113,Q4 Relationship weakened
MELONS,152,216,299,-0.16580656185919354,0.20620020504186096,-24.177648097516524,12.165121086203804,Q4 Relationship weakened
TURKEY,63,70,176,-0.49383975812547254,0.36418322590161362,-26.258791738244106,18.675686688996151,Q4 Relationship weakened
SINUS AND ALLERGY,24,27,45,-0.94027777777777788,0.8593779796708213,-27.259715277777758,53.676851650789374,Q4 Relationship weakened
BABY HBC,27,28,85,-0.58605967078189292,0.46320305076571422,-30.558234053497948,30.0506071992511,Q4 Relationship weakened
DISHWASH DETERGENTS,30,31,89,-0.98653439153439149,0.70752798213825474,-36.714314021164043,27.428081703171081,Q4 Relationship weakened
CHIPS&SNACKS,20,25,42,-0.68333333333333313,0.60027406021618246,-46.171666666666653,32.162496232922415,Q4 Relationship weakened
PREPARED FOOD,24,25,49,-1.3555555555555558,0.67819565204917132,-81.134250000000009,47.516399390648616,Q4 Relationship weakened
